case,ax,rate,de,de_lo,cap
S8,My,0.9,0.44925515279416844,0.1994631423505008,0.15695168102102888
S8,My,1.2,0.5658605264567401,0.26167217944828486,0.16501106600046883
S9,Mx,1.2,2.04053783351426,1.1975415224156403,0.14578861526084225
S9,Mx,0.1,0.6581980063300013,0.3012988143802033,0.11865277297835165
S9,Mx,0.2,0.8498895887531187,0.3622772787284451,0.11857786988340566
S9,Mx,0.3,0.8003046440262032,0.31273940095776276,0.12135090919103617
S9,Mx,0.45,0.927369580611365,0.38105850604169716,0.12604864940249655
S9,Mx,0.65,0.9473286196598687,0.34818623455977377,0.13200196548147924
S9,Mx,0.9,0.8030099423815451,0.3357131380083359,0.13868885682304466
S9,Mx,1.2,0.3935016526372955,0.17457356766075413,0.14578861526084225
S9,My,0.1,0.7149305382728581,0.32900374945353356,0.14173518279118746
S9,My,0.2,0.6256267104905903,0.2576382660499076,0.14061166804409325
S9,My,0.3,0.9492308749819508,0.4135654415480403,0.14356729578651264
S9,My,0.45,1.0066570910190047,0.48943511681818436,0.1489269573476559
S9,My,0.65,1.1226091437512287,0.517446663125994,0.15586623055550752
S9,My,0.9,1.0883122815603057,0.5022992824923546,0.16372777223505589
S9,My,1.2,0.6260922692324149,0.09367559504478538,0.1721077578394219
S9,My,0.1,0.3503582884763234,0.17118622452772958,0.14173518279118746
S9,My,0.2,0.37439874617275787,0.20464238281601693,0.14061166804409325
S9,My,0.3,0.4141728530072466,0.23794734325407324,0.14356729578651264
S9,My,0.45,0.6283336665887164,0.34670769700210774,0.1489269573476559
S9,My,0.65,0.6819365686956074,0.42347721631821045,0.15586623055550752
S9,My,0.9,0.6100214848593508,0.3021399087766936,0.16372777223505589
S9,My,1.2,0.8735623503512111,0.4087687507542521,0.1721077578394219
S11,Mx,0.1,0.5072697331467189,0.237970544309587,0.10219112611785026
S11,Mx,0.2,0.6010446166608893,0.277451482038219,0.10278114241275954
S11,Mx,0.3,0.518457894890418,0.22760835969219806,0.10542596139913708
S11,Mx,0.45,0.6531542684230152,0.27093229219962717,0.10968052991209166
S11,Mx,0.65,0.7600774572851189,0.30242491503083624,0.11497573985115098
S11,Mx,0.9,0.7980706133216333,0.31905885977573156,0.12087743328330373
