case,ax,rate,de,res,cap
S2,My,0.1,0.05251017628211542,0.6025982621704682,0.38732877741161265
S2,My,0.2,0.07654759122054818,0.475750723000108,0.4113661923500454
S2,My,0.3,0.09983159668843862,0.16528679188974488,0.43465019781793585
S2,My,0.45,0.12746801890155426,0.14070650656707565,0.4622866200310515
S2,My,0.65,0.1439138552678186,0.12771026902299318,0.4787324563973159
S2,My,0.9,0.1396142061381789,0.11664291208789962,0.4744328072676761
S2,My,1.2,0.14480443611736415,0.1407512348209922,0.4796230372468614
S2,My,0.1,0.05307461514591438,0.5753984824955137,0.3878932162754116
S2,My,0.2,0.07648762896777475,0.3042236175651238,0.41130623009727196
S2,My,0.3,0.0952792141651922,0.1937204067910028,0.43009781529468943
S2,My,0.45,0.1264445653185482,0.13080558346702792,0.46126316644804544
S2,My,0.65,0.14540210022988884,0.12802199748049004,0.4802207013593861
S2,My,0.9,0.14024774229775624,0.12338764807164694,0.4750663434272535
S2,My,1.2,0.14451650928340704,0.14353956107583285,0.4793351104129043
S3,Mx,0.1,0.04149664566187099,0.5092636565887707,0.37631524679136824
S3,Mx,0.2,0.07004549596265593,0.31937488956688176,0.40486409709215315
S3,Mx,0.3,0.08781434568103304,0.24715708749324908,0.42263294681053026
S3,Mx,0.45,0.1043849094156318,0.12463503776588457,0.43920351054512907
S3,Mx,0.65,0.13311152189446937,0.1309396625837304,0.46793012302396664
S3,Mx,0.9,0.12793472771797038,0.12173064307722939,0.4627533288474676
S3,Mx,1.2,0.13177952723511505,0.13600444871826498,0.4665981283646123
S3,Mx,0.1,0.0413364409549859,0.3539476115271059,0.37615504208448314
S3,Mx,0.2,0.06642037562511294,0.42953803449063493,0.4012389767546102
S3,Mx,0.3,0.07370909354012274,0.12824826457789712,0.40852769466961997
S3,Mx,0.45,0.10955939857034247,0.11990382384380893,0.4443779996998397
S3,Mx,0.65,0.11694116052300238,0.10785953064875459,0.45175976165249965
S3,Mx,0.9,0.11959647710316726,0.10522327812693259,0.45441507823266447
S3,Mx,1.2,0.11521125477501204,0.12837171489760188,0.4500298559045093
S3,My,0.1,0.054221504445207444,0.41166741578498145,0.3890401055747047
S3,My,0.2,0.09214887143640915,0.3881340219166922,0.4269674725659064
S3,My,0.3,0.10812337622800297,0.19305680870248634,0.4429419773575002
S3,My,0.45,0.14269956100515835,0.11634605074926774,0.4775181621346556
S3,My,0.65,0.13804154671067587,0.12523942537379631,0.4728601478401731
S3,My,0.9,0.15058939559826587,0.12957647471546796,0.48540799672776314
S3,My,1.2,0.15477220468321864,0.12065233781345111,0.48959080581271586
S3,My,0.1,0.0544213412312754,0.38415856354979805,0.38923994236077264
S3,My,0.2,0.0826168796613272,0.2980092963005469,0.41743548079082443
S3,My,0.3,0.09652339616524365,0.16060886334439473,0.4313419972947409
S3,My,0.45,0.1359584063867592,0.13887024421186175,0.47077700751625645
S3,My,0.65,0.13036178352284505,0.10452181394142683,0.4651803846523423
S3,My,0.9,0.1586004208986787,0.13056334448278664,0.49341902202817595
S3,My,1.2,0.0856214210366755,0.19755362968465578,0.4204400221661727
S4,Mx,0.1,0.0476390386487035,0.48918870051012747,0.38245763977820074
S4,Mx,0.2,0.07610683717516467,0.3948284476905227,0.4109254383046619
S4,Mx,0.3,0.09399539911400608,0.23699303457031234,0.4288140002435033
S4,Mx,0.45,0.11216197722742725,0.11802956790107517,0.4469805783569245
S4,Mx,0.65,0.1179154134717905,0.12165194436057272,0.45273401460128776
S4,Mx,0.9,0.128584774113895,0.10430690663767546,0.46340337524339226
S4,Mx,1.2,0.13902217179097812,0.12411667839886634,0.47384077292047533
S4,Mx,0.1,0.05338145293292289,0.3529794650630474,0.38820005406242014
S4,Mx,0.2,0.07582571516563633,0.30554685058856024,0.41064431629513354
S4,Mx,0.3,0.11189527801348621,0.30015647781872545,0.44671387914298344
S4,Mx,0.45,0.13290191942879118,0.11974945369440772,0.4677205205582884
S4,Mx,0.65,0.14261641379555456,0.12730620506326054,0.4774350149250518
S4,Mx,0.9,0.13463531909375953,0.12844273940526557,0.46945392022325677
S4,Mx,1.2,0.14022875423395162,0.12946710377363646,0.4750473553634489
S4,My,0.1,0.0647382135343903,0.37124570341484825,0.39955681466388754
S4,My,0.2,0.09778060288868401,0.31919674051262276,0.43259920401818125
S4,My,0.3,0.12957227916471992,0.23274383183864353,0.46439088029421716
S4,My,0.45,0.1532796360136983,0.11869675636399955,0.48809823714319556
S4,My,0.65,0.14750907100431876,0.1213841076047134,0.482327672133816
S4,My,0.9,0.1269251287623063,0.12033730040754552,0.46174372989180357
S4,My,1.2,0.17667935322771852,0.1258393209404249,0.5114979543572158
S4,My,0.1,0.05523385135394416,0.3472418526957918,0.3900524524834414
S4,My,0.2,0.08829047587655223,0.2662959116807852,0.4231090770060495
S4,My,0.3,0.10969489062413426,0.18231484259518277,0.44451349175363153
S4,My,0.45,0.14710422858393274,0.10800976764771776,0.48192282971343
S4,My,0.65,0.15665737393527465,0.11360214470113492,0.4914759750647719
S4,My,0.9,0.15090934939348438,0.12368844807871285,0.4857279505229816
