bag,dir,lp_mm,dphi_deg,int_dyn,int_mod,slope_dyn,slope_mod,a_rate_mm_per_deg,case,axis,z_com,j_p
pos_My_03,pos,119.57371631974806,7.317701247386116,232.07728787908508,158.28758263004792,-18.713107757298673,-2.013060256714484,0.5286799342977498,case_02,My,0.256,0.30055192
pos_My_045,pos,115.95356113314179,6.845288055938402,284.3202914766081,155.98863401826227,-47.61715498226904,-1.5231620258147347,1.4592155601286017,case_02,My,0.256,0.30055192
neg_Mx_01,neg,142.6178005167898,7.204477087537874,121.455069648411,200.2416941640047,-9.709049225355434,-3.713312210153305,0.18980939132974106,case_03,Mx,0.256,0.32522292
neg_Mx_02,neg,140.92755063775266,7.122911063600372,166.255384489617,199.70236571917744,-71.41576418148853,-3.2491754172271663,2.1579763571289705,case_03,Mx,0.256,0.32522292
neg_Mx_03,neg,141.19129609678654,5.776503475825069,71.90969621346879,200.1718525621979,-60.53051319066011,-2.915883116581157,1.8239288745189328,case_03,Mx,0.256,0.32522292
neg_Mx_045,neg,143.52986250406852,6.310684604617904,86.31258393702038,198.7003728943894,-11.020979684277036,-2.40503331510506,0.27275838348408504,case_03,Mx,0.256,0.32522292
neg_Mx_065,neg,142.4639555555772,7.541015499003859,137.76802403853605,199.86331209682237,-52.07826952457359,-2.212628864027946,1.5786160864039624,case_03,Mx,0.256,0.32522292
neg_Mx_090,neg,141.75453403979532,6.723709867486294,172.52742273575933,197.4775233036213,-56.83596014219563,-1.467204002957921,1.752830365112216,case_03,Mx,0.256,0.32522292
pos_Mx_01,pos,134.96844146255688,4.43333214440614,336.3768936010304,166.2770849014476,-94.71166744091042,-2.729655343342253,2.911910526638687,case_03,Mx,0.256,0.32522292
pos_Mx_02,pos,136.13323729420367,4.822586734727596,259.846782643677,168.45390084567288,-25.729618130629625,-2.4427648342238664,0.7372010211536509,case_03,Mx,0.256,0.32522292
pos_Mx_03,pos,138.5541393827255,6.1489304661702775,235.6338920511862,171.48412998412505,-9.978123478734375,-2.2862854646511064,0.24350352391346353,case_03,Mx,0.256,0.32522292
pos_Mx_045,pos,139.48070261525973,6.082988003549098,311.0532275864416,171.3161577342463,-30.81973085358386,-1.8312542029957954,0.9176995413030201,case_03,Mx,0.256,0.32522292
pos_Mx_065,pos,139.2535770152785,6.22346244588769,317.5996344796784,173.11471335873466,-70.62166475964507,-1.4286928821559064,2.190468968712657,case_03,Mx,0.256,0.32522292
pos_Mx_090,pos,140.00051313656857,6.26714247261107,306.8988620161446,171.95777014551172,-20.734597781687043,-0.7523009488205855,0.6325873849369845,case_03,Mx,0.256,0.32522292
pos_Mx_120,pos,139.84381934430877,6.976141204451852,279.2665871330077,173.67979645742417,-2.495260964782254,-0.5474720808991554,0.061661914382050834,case_03,Mx,0.256,0.32522292
neg_My_01,neg,107.25015403143054,3.588339498899823,314.5875245254139,134.7521470000292,-117.37025896562992,-1.7716351081338682,3.659550840424463,case_03,My,0.256,0.30055192
neg_My_02,neg,107.90526027856397,2.958973287922988,267.5571358843564,135.93425799311404,-45.28602178223473,-1.4800183895661398,1.3867837797870273,case_03,My,0.256,0.30055192
neg_My_03,neg,106.28929581310233,3.242876170420882,243.2286119178092,136.84502761736965,-13.458272016162432,-0.9546143838329715,0.3958331792355835,case_03,My,0.256,0.30055192
neg_My_045,neg,113.6035703236175,3.5039437638179716,366.2720094394869,138.27872598211096,-48.79879931343461,-0.7170930678380489,1.522141377020424,case_03,My,0.256,0.30055192
neg_My_065,neg,108.18691666599835,3.8179558780034384,283.427935825222,136.26496773834933,5.822535383786769,0.11151269906162956,-0.1807960784319822,case_03,My,0.256,0.30055192
neg_My_090,neg,108.70509480227663,4.080455724878196,293.6183857689814,136.9723381963919,-51.025329926053644,0.832539384072463,1.6416848478269128,case_03,My,0.256,0.30055192
